name;lat;lon;value
Oberstdorf;47,398429;10,275881;9,6
Zugspitze;47,421037;10,984761;11,7
Garmisch-Partenkirchen;47,482989;11,062126;4,1
Rheinfelden;47,558973;7,772149;10
Sigmarszell-Zeisertsweiler;47,577598;9,740446;17
Kiefersfelden-Gach;47,618701;12,166532;5,5
Oy-Mittelberg-Petersthal;47,636179;10,38923;10,2
Kohlgrub, Bad (Rosshof);47,665187;11,080459;5,8
Reit im Winkl;47,675415;12,469775;6,3
Wutöschingen-Ofteringen;47,678267;8,380132;36,3
Friedrichshafen-Unterraderach;47,684486;9,440903;19,7
Konstanz;47,695219;9,130698;23,4
Dachsberg-Wolpadingen;47,700359;8,105736;48,8
Kempten;47,723263;10,334786;10,3
Piding;47,77239;12,907282;7,8
Singen;47,773799;8,821934;20,4
Leutkirch-Herlazhofen;47,795529;10,032457;17,8
Hohenpeißenberg;47,800869;11,010819;2,7
Weingarten, Kr. Ravensburg;47,806248;9,620579;19,4
Müllheim;47,806371;7,638692;9,5
Siegsdorf-Höll;47,835009;12,654781;4,1
Lenzkirch-Ruhbühl;47,859705;8,230755;31,9
Feldberg/Schwarzwald;47,874842;8,003793;19,1
Rosenheim;47,875339;12,127976;3,2
Kaufbeuren-Oberbeuren;47,876124;10,584889;3,6
Attenkam;47,877428;11,364282;4,6
Wielenbach (Demollstr.);47,882679;11,157584;2,4
Chieming;47,884257;12,540368;3,9
Geisingen;47,924175;8,647358;11,1
Pfullendorf;47,934471;9,28693;19,6
Buchenbach;47,96248;7,998337;18,9
Memmingen;47,982065;10,13838;11,2
Oberhaching-Laufzorn;48,013027;11,552433;9,8
Amerang-Pfaffing;48,019737;12,292473;3,1
Freiburg;48,023242;7,834292;4,3
Trostberg;48,031106;12,539575;3,4
Villingen-Schwenningen;48,045325;8,460769;28,4
Sigmaringen-Laiz;48,071864;9,194326;13,8
Ebersberg-Halbing;48,100334;11,987202;7,6
Klippeneck;48,105397;8,754788;8,7
Emmendingen-Mundingen;48,137773;7,83505;6,8
Altheim, Kreis Biberach;48,147903;9,459615;9,4
München-Stadt;48,163202;11,542893;11,1
Meßstetten-Appental;48,169353;8,943265;15,3
Rottweil;48,181464;8,635552;17,8
Elzach-Fisnacht;48,201207;8,10884;25,9
Maisach-Galgen;48,206984;11,203508;6,6
Balingen-Bronnhaupten;48,263864;8,813418;19,2
Simbach/Inn;48,271797;13,027276;5,1
Mühldorf;48,278982;12,502407;6,3
Wolfach;48,295324;8,239068;11,7
Neuburg/Kammel-Langenhaslach;48,31145;10,377302;12,4
