name;lat;lon;value
Westerheim;48,520569;9,618713;1,5
Nandlstadt;48,523465;11,839823;0,2
Metzingen;48,537661;9,273374;0,5
Fürstenzell;48,545114;13,353159;0
Schrobenhausen;48,553221;11,284413;1,3
Dillingen/Donau-Fristingen;48,556225;10,55985;3,4
Kehl-Odelshofen;48,557579;7,879983;2,3
Untergriesbach-Glotzing;48,559856;13,74948;0
Baiersbronn-Ruhestein;48,561496;8,222839;14,1
Landshut-Reithof;48,57337;12,257556;0,7
Herrenberg;48,591536;8,854123;2,1
Hermaringen-Allewind;48,609888;10,267397;3,8
Loiching;48,6106;12,414314;0,5
Aldersbach-Kramersepp;48,618259;13,062023;0,1
Mamming-Schneiderberg;48,618864;12,623317;0,3
Simmersfeld;48,619138;8,524708;11,1
Rain am Lech-Wallerdorf;48,6192;11,00585;2,1
Neubulach-Oberhaugstett;48,65156;8,680111;5,8
Büchlberg-Tannöd;48,654923;13,507703;0
Hohenthann;48,657184;12,088712;0,6
Gottfrieding;48,659461;12,538816;0,4
Stötten;48,665587;9,864791;2
Rheinau-Memprechtshofen;48,670276;7,993861;5,4
Notzingen;48,670477;9,462704;0,5
Sonnen;48,681855;13,735115;0
Stuttgart-Echterdingen;48,688265;9,223548;0,6
Geisenfeld-Engelbrechtsmünster;48,689416;11,635317;1,4
Elsendorf-Horneck;48,701956;11,849253;1,4
Nattheim-Fleinheim;48,707084;10,299698;4,3
Baden-Baden-Geroldsau;48,726985;8,245738;7,5
Donauwörth-Osterweiler;48,737412;10,739322;1,3
Renningen-Ihinger Hof;48,742509;8,923969;1,1
Mallersdorf-Pfaffenberg-Oberlindhart;48,754821;12,211843;0,8
Baltmannsweiler-Hohengehren;48,757357;9,451366;0,6
Osterhofen-Thundorf;48,757676;13,013434;1
Bartholomä;48,758432;9,985462;7
Schwäbisch Gmünd-Weiler;48,769466;9,873745;7,2
Saldenburg-Entschenreuth;48,783156;13,314592;0,8
Wildbad, Bad-Calmbach;48,784843;8,576383;5,7
Grainet-Rehberg;48,78935;13,629026;0,2
Harburg;48,791834;10,706234;1,1
Nassenfels;48,801603;11,218112;2,3
Tagmersheim-Blossenau;48,810398;10,935893;1,8
Reimlingen;48,825254;10,506667;1,8
Straubing;48,827504;12,559695;0,2
Stuttgart (Schnarrenberg);48,828085;9,200028;0,5
Kösching;48,830189;11,487243;2
Metten;48,85476;12,918911;2
Lauchheim (Berghof);48,876679;10,241347;6,7
Eichstätt-Landershofen;48,877749;11,23488;2,2
Bogen-Pfelling;48,884636;12,745292;0,5
Hagelstadt;48,895982;12,216961;1,9
Kirchberg/Niederbayern -Zell;48,902292;13,14419;4,9
Kaisersbach-Cronhütte;48,917038;9,687101;10,1
Abtsgmünd-Untergröningen;48,921939;9,912859;5,9
